month_key,revenue,mom_change
201609,354.75,
201610,56808.84,56454.09
201612,19.62,-56789.22
201701,137188.49,137168.87
201702,286280.62,149092.13
201703,432048.59,145767.97
201704,412422.24,-19626.35
201705,586190.95,173768.71
201706,502963.04,-83227.91
201707,584971.62,82008.58
201708,668204.60,83232.98
201709,720398.91,52194.31
201710,769312.37,48913.46
201711,1179143.77,409831.40
201712,863547.23,-315596.54
201801,1107301.89,243754.66
201802,986908.96,-120392.93
201803,1155126.82,168217.86
201804,1159698.04,4571.22
201805,1149781.82,-9916.22
201806,1022677.11,-127104.71
201807,1058728.03,36050.92
201808,1003308.47,-55419.56
201809,166.46,-1003142.01
201810,0.00,-166.46
