month_key,revenue,rolling_3_month_revenue
201609,354.75,354.75
201610,56808.84,57163.59
201612,19.62,57183.21
201701,137188.49,194016.95
201702,286280.62,423488.73
201703,432048.59,855517.70
201704,412422.24,1130751.45
201705,586190.95,1430661.78
201706,502963.04,1501576.23
201707,584971.62,1674125.61
201708,668204.60,1756139.26
201709,720398.91,1973575.13
201710,769312.37,2157915.88
201711,1179143.77,2668855.05
201712,863547.23,2812003.37
201801,1107301.89,3149992.89
201802,986908.96,2957758.08
201803,1155126.82,3249337.67
201804,1159698.04,3301733.82
201805,1149781.82,3464606.68
201806,1022677.11,3332156.97
201807,1058728.03,3231186.96
201808,1003308.47,3084713.61
201809,166.46,2062202.96
201810,0.00,1003474.93
