category,revenue,revenue_share_pct,cumulative_revenue
health_beauty,1441248.07,9.0967477318238241,1441248.07
watches_gifts,1305541.61,8.2402071695881776,2746789.68
bed_bath_table,1241681.72,7.8371417143039815,3988471.40
sports_leisure,1156656.48,7.3004865921099401,5145127.88
computers_accessories,1059272.40,6.6858259883626963,6204400.28
furniture_decor,902511.79,5.6963976219768742,7106912.07
housewares,778397.77,4.9130252425623180,7885309.84
cool_stuff,719329.95,4.5402059696048334,8604639.79
auto,685384.32,4.3259508117763613,9290024.11
garden_tools,584219.21,3.6874254225057914,9874243.32
toys,561372.55,3.5432238052680662,10435615.87
baby,480118.00,3.0303682054594465,10915733.87
perfumery,453338.71,2.8613449466339534,11369072.58
telephony,394883.32,2.4923911575784877,11763955.90
office_furniture,342532.65,2.1619686241544135,12106488.55
stationery,277741.71,1.7530266461868499,12384230.26
pet_shop,253876.65,1.6023971779199197,12638106.91
computers,232799.43,1.4693637624939745,12870906.34
,213662.90,1.3485794301531315,13084569.24
musical_instruments,210137.37,1.3263272879310247,13294706.61
electronics,206825.06,1.3054209296802918,13501531.67
small_appliances,206668.83,1.3044348503732487,13708200.50
fashion_bags_accessories,184273.54,1.1630821521448051,13892474.04
consoles_games,177293.24,1.1190244846868707,14069767.28
luggage_accessories,170875.21,1.0785157054832480,14240642.49
